database_code	dt	approach
dewiki	2001-01-15	min_ar_rev_dt
mlwiki	2001-01-15	min_ar_rev_dt
arwiktionary	2001-01-15	min_ar_rev_dt
enwiki	2001-01-15	min_rev_dt
arwiki	2001-01-15	min_rev_dt
enwikibooks	2001-02-23	min_ar_rev_dt
elwiki	2001-03-08	min_rev_dt
cawiki	2001-03-17	least_rev
enwiktionary	2001-04-07	min_ar_rev_dt
eswiki	2001-05-19	min_ar_rev_dt
svwiki	2001-05-23	min_rev_dt
frwiki	2001-06-01	min_rev_dt
ptwiki	2001-06-08	min_rev_dt
enwikisource	2001-06-25	min_rev_dt
bgwiki	2001-07-27	min_rev_dt
nlwiki	2001-08-07	min_rev_dt
simplewiki	2001-08-09	min_ar_rev_dt
bhwiki	2001-08-14	min_rev_dt
hiwiki	2001-08-14	min_rev_dt
knwiki	2001-08-18	min_ar_rev_dt
itwiki	2001-08-24	min_rev_dt
nlwikibooks	2001-08-28	min_rev_dt
dewikiversity	2001-09-06	min_rev_dt
dewikibooks	2001-09-06	min_rev_dt
plwiki	2001-09-26	min_ar_rev_dt
nowiki	2001-10-05	min_ar_rev_dt
viwikibooks	2001-10-19	min_rev_dt
enwikiversity	2001-10-25	min_rev_dt
dewiktionary	2001-11-06	min_rev_dt
eowiki	2001-11-16	min_ar_rev_dt
afwiki	2001-11-16	min_rev_dt
euwiki	2001-12-06	min_rev_dt
frwikibooks	2002-01-15	min_rev_dt
dawiki	2002-02-11	min_rev_dt
frwikiversity	2002-02-18	min_rev_dt
cawiktionary	2002-02-24	min_rev_dt
tewiki	2002-02-25	min_ar_rev_dt
siwiki	2002-02-28	min_ar_rev_dt
frwiktionary	2002-03-09	min_rev_dt
frwikiquote	2002-03-14	min_rev_dt
plwikibooks	2002-03-24	min_ar_rev_dt
jawiki	2002-04-17	min_rev_dt
commonswiki	2002-04-23	min_ar_rev_dt
eswiktionary	2002-05-15	min_rev_dt
lawiki	2002-05-22	min_rev_dt
gdwiki	2002-05-31	min_ar_rev_dt
dzwiki	2002-06-01	min_ar_rev_dt
azwiki	2002-06-02	least_rev
bawiki	2002-06-02	least_rev
aswiki	2002-06-02	min_rev_dt
lnwiki	2002-06-03	min_ar_rev_dt
mgwiki	2002-06-03	min_ar_rev_dt
kywiki	2002-06-03	min_rev_dt
orwiki	2002-06-03	min_rev_dt
mnwiki	2002-06-03	min_ar_rev_dt
newiki	2002-06-03	least_rev
kkwiki	2002-06-03	least_rev
fjwiki	2002-06-03	min_rev_dt
hawiki	2002-06-03	least_rev
kuwiki	2002-06-03	min_rev_dt
ikwiki	2002-06-03	min_rev_dt
kmwiki	2002-06-03	least_rev
rwwiki	2002-06-03	least_rev
fowiki	2002-06-03	min_ar_rev_dt
pawiki	2002-06-03	min_rev_dt
iawiki	2002-07-23	min_rev_dt
etwiki	2002-08-24	min_rev_dt
fiwiki	2002-08-27	min_rev_dt
fywiki	2002-09-07	min_rev_dt
plwiktionary	2002-09-17	min_rev_dt
alswiki	2002-09-19	min_ar_rev_dt
guwiki	2002-09-30	min_rev_dt
frwikisource	2002-10-03	min_rev_dt
kowiki	2002-10-11	min_rev_dt
yiwiki	2002-10-23	min_ar_rev_dt
yowiki	2002-10-23	min_rev_dt
mywiki	2002-10-24	least_rev
mswiki	2002-10-26	least_rev
zhwiki	2002-10-26	min_rev_dt
ruwiki	2002-11-07	min_rev_dt
cswiki	2002-11-14	min_rev_dt
viwiki	2002-11-16	min_rev_dt
itwiktionary	2002-11-19	min_rev_dt
frwikinews	2002-11-20	min_ar_rev_dt
pswiki	2002-11-26	min_ar_rev_dt
omwiki	2002-12-03	min_ar_rev_dt
trwiki	2002-12-05	least_rev
iswiki	2002-12-06	min_ar_rev_dt
bswiki	2002-12-12	min_ar_rev_dt
elwiktionary	2002-12-12	min_rev_dt
scowiki	2002-12-12	min_rev_dt
lawiktionary	2002-12-13	min_rev_dt
itwikibooks	2002-12-19	min_rev_dt
amwiki	2002-12-19	min_rev_dt
mlwikiquote	2002-12-23	min_rev_dt
shwiki	2002-12-23	least_rev
enwikiquote	2003-01-04	min_rev_dt
ukwiki	2003-01-04	min_rev_dt
skwiki	2003-01-04	min_rev_dt
hewiki	2003-01-04	min_rev_dt
nlwiktionary	2003-01-04	min_rev_dt
hewikibooks	2003-01-04	min_ar_rev_dt
hywiki	2003-01-04	min_rev_dt
dewikiquote	2003-01-22	min_rev_dt
idwiki	2003-01-24	min_rev_dt
jvwiki	2003-01-25	min_rev_dt
zuwiki	2003-02-03	min_rev_dt
vowiki	2003-02-08	min_rev_dt
srwiki	2003-02-16	least_rev
hrwiki	2003-02-16	min_rev_dt
ltwiki	2003-02-20	min_rev_dt
swwiki	2003-03-07	min_ar_rev_dt
glwiki	2003-03-08	min_rev_dt
glwiktionary	2003-03-12	min_rev_dt
klwiki	2003-03-13	min_rev_dt
thwiki	2003-03-15	min_rev_dt
ocwiki	2003-03-16	min_rev_dt
glwikiquote	2003-03-27	min_rev_dt
iuwiki	2003-04-11	min_rev_dt
lawikibooks	2003-04-15	min_rev_dt
nlwikisource	2003-04-24	min_rev_dt
ndswiki	2003-04-27	leart_ar_rev
mkwiki	2003-04-29	min_ar_rev_dt
mrwiki	2003-05-01	min_ar_rev_dt
lvwiki	2003-06-06	min_rev_dt
xhwiki	2003-06-09	min_rev_dt
gnwiki	2003-06-16	least_rev
wawiktionary	2003-06-22	min_rev_dt
wawiki	2003-06-22	min_rev_dt
srwiktionary	2003-06-26	min_rev_dt
wowiki	2003-06-27	min_rev_dt
huwiki	2003-07-08	min_rev_dt
slwiki	2003-07-10	least_rev
hewikisource	2003-07-11	min_rev_dt
cywiki	2003-07-12	min_rev_dt
rowiki	2003-07-12	min_rev_dt
cawikibooks	2003-07-14	min_rev_dt
ptwikibooks	2003-07-15	min_rev_dt
lowiki	2003-07-19	least_rev
biwiki	2003-07-22	min_rev_dt
svwiktionary	2003-07-24	min_rev_dt
kswiki	2003-07-26	min_rev_dt
eswikibooks	2003-08-02	min_ar_rev_dt
glwikisource	2003-08-06	min_rev_dt
nawiki	2003-08-09	min_ar_rev_dt
nahwiki	2003-08-10	min_rev_dt
gawiki	2003-08-11	min_rev_dt
tetwiki	2003-09-14	min_ar_rev_dt
stwiki	2003-09-18	least_rev
ttwiki	2003-09-20	min_ar_rev_dt
gvwiki	2003-09-20	least_rev
hewiktionary	2003-09-20	min_rev_dt
simplewikibooks	2003-09-24	min_rev_dt
tawiki	2003-09-28	min_ar_rev_dt
simplewiktionary	2003-10-09	min_rev_dt
sqwiki	2003-10-12	min_rev_dt
abwiki	2003-10-12	least_rev
svwikisource	2003-10-24	min_ar_rev_dt
suwiki	2003-10-25	min_rev_dt
jawikibooks	2003-10-30	min_rev_dt
crwiki	2003-11-02	min_ar_rev_dt
mswiktionary	2003-11-10	min_ar_rev_dt
twwiki	2003-11-11	min_rev_dt
quwiki	2003-11-19	min_ar_rev_dt
dewikisource	2003-11-24	min_rev_dt
lawikisource	2003-11-24	min_rev_dt
miwiki	2003-11-25	min_rev_dt
zhwikisource	2003-11-26	leart_ar_rev
urwiki	2003-11-26	min_ar_rev_dt
kawiki	2003-11-29	min_ar_rev_dt
eswikisource	2003-11-29	min_rev_dt
aywiki	2003-11-30	least_rev
cowiki	2003-11-30	min_rev_dt
jawikisource	2003-12-03	min_rev_dt
slwiktionary	2003-12-05	min_ar_rev_dt
fywiktionary	2003-12-05	min_rev_dt
kowiktionary	2003-12-05	min_rev_dt
skwiktionary	2003-12-05	min_rev_dt
shwiktionary	2003-12-05	min_ar_rev_dt
gdwiktionary	2003-12-05	min_ar_rev_dt
hiwiktionary	2003-12-05	min_rev_dt
ocwiktionary	2003-12-05	min_rev_dt
gvwiktionary	2003-12-05	min_rev_dt
dawiktionary	2003-12-05	min_ar_rev_dt
nahwiktionary	2003-12-05	min_ar_rev_dt
hewikiquote	2003-12-05	min_rev_dt
jawiktionary	2003-12-05	min_rev_dt
mlwiktionary	2003-12-05	min_rev_dt
viwikiquote	2003-12-05	min_rev_dt
viwiktionary	2003-12-05	min_rev_dt
hrwiktionary	2003-12-05	min_ar_rev_dt
trwiktionary	2003-12-05	min_ar_rev_dt
huwiktionary	2003-12-05	min_rev_dt
ltwiktionary	2003-12-05	min_rev_dt
kawiktionary	2003-12-05	min_rev_dt
eowiktionary	2003-12-05	min_rev_dt
ruwiktionary	2003-12-05	min_rev_dt
rowiktionary	2003-12-05	min_rev_dt
zhwiktionary	2003-12-05	min_rev_dt
bswiktionary	2003-12-05	min_ar_rev_dt
cswiktionary	2003-12-05	min_rev_dt
cywiktionary	2003-12-05	leart_ar_rev
fiwiktionary	2003-12-05	min_rev_dt
rowikisource	2003-12-06	min_rev_dt
ptwikisource	2003-12-08	min_ar_rev_dt
itwikisource	2003-12-12	min_ar_rev_dt
sqwiktionary	2003-12-13	min_rev_dt
fawiki	2003-12-13	min_rev_dt
bgwiktionary	2003-12-14	min_ar_rev_dt
nowiktionary	2003-12-15	min_rev_dt
ugwiki	2003-12-17	min_rev_dt
afwiktionary	2003-12-17	min_ar_rev_dt
iawiktionary	2003-12-18	min_rev_dt
etwiktionary	2003-12-18	min_rev_dt
ptwiktionary	2003-12-18	min_rev_dt
hiwikibooks	2003-12-18	min_ar_rev_dt
cawikiquote	2003-12-19	min_ar_rev_dt
mlwikisource	2003-12-20	min_rev_dt
sawiki	2003-12-21	least_rev
ruwikisource	2003-12-21	min_rev_dt
glwikibooks	2003-12-21	min_rev_dt
uzwiki	2003-12-21	least_rev
idwiktionary	2003-12-24	min_ar_rev_dt
bowiki	2003-12-25	min_rev_dt
thwiktionary	2003-12-25	min_rev_dt
sdwiki	2003-12-26	min_ar_rev_dt
bnwiki	2003-12-26	min_ar_rev_dt
rmwiki	2003-12-26	min_rev_dt
skwikibooks	2004-01-01	min_ar_rev_dt
tlwiki	2004-01-04	min_rev_dt
zhwikibooks	2004-01-06	min_rev_dt
tawiktionary	2004-01-12	min_ar_rev_dt
towiki	2004-01-15	min_rev_dt
vecwiki	2004-01-19	min_rev_dt
tkwiki	2004-01-25	min_rev_dt
sswiki	2004-01-27	min_rev_dt
tgwiki	2004-01-27	least_rev
quwiktionary	2004-01-29	min_ar_rev_dt
wowiktionary	2004-01-29	min_ar_rev_dt
kkwiktionary	2004-01-29	least_rev
towiktionary	2004-01-29	min_rev_dt
klwiktionary	2004-01-29	leart_ar_rev
lowiktionary	2004-01-29	min_rev_dt
pswiktionary	2004-01-29	min_rev_dt
kmwiktionary	2004-01-29	min_rev_dt
xhwiktionary	2004-01-29	min_ar_rev_dt
knwiktionary	2004-01-29	min_rev_dt
iswiktionary	2004-01-29	min_ar_rev_dt
rmwiktionary	2004-01-29	min_ar_rev_dt
amwiktionary	2004-01-29	min_rev_dt
tnwiki	2004-01-29	min_rev_dt
iuwiktionary	2004-01-29	leart_ar_rev
kswiktionary	2004-01-29	min_ar_rev_dt
pawiktionary	2004-01-29	min_ar_rev_dt
yowiktionary	2004-01-29	min_rev_dt
rowikinews	2004-01-29	min_ar_rev_dt
yiwiktionary	2004-01-29	min_ar_rev_dt
tnwiktionary	2004-01-29	min_rev_dt
jvwiktionary	2004-01-29	min_ar_rev_dt
rnwiki	2004-01-29	min_ar_rev_dt
tlwiktionary	2004-01-29	min_ar_rev_dt
lnwiktionary	2004-01-29	leart_ar_rev
kywiktionary	2004-01-29	min_ar_rev_dt
rnwiktionary	2004-01-29	min_ar_rev_dt
kuwiktionary	2004-01-29	min_ar_rev_dt
mywiktionary	2004-01-29	min_ar_rev_dt
vowiktionary	2004-01-29	min_ar_rev_dt
ukwiktionary	2004-01-29	min_ar_rev_dt
ikwiktionary	2004-01-29	min_ar_rev_dt
mgwiktionary	2004-01-29	leart_ar_rev
snwiktionary	2004-01-29	min_rev_dt
sowiki	2004-01-29	min_rev_dt
bewiktionary	2004-01-29	leart_ar_rev
sowiktionary	2004-01-29	min_rev_dt
fawiktionary	2004-01-29	min_ar_rev_dt
cowiktionary	2004-01-29	min_rev_dt
