	dt	approach	database_code
0	2001-01-15	min_ar_rev_dt	dewiki
1	2001-01-15	min_ar_rev_dt	mlwiki
2	2001-01-15	min_ar_rev_dt	arwiktionary
3	2001-01-15	min_rev_dt	enwiki
4	2001-01-15	min_rev_dt	arwiki
5	2001-02-23	min_ar_rev_dt	enwikibooks
6	2001-03-08	min_rev_dt	elwiki
7	2001-03-17	least_rev	cawiki
8	2001-04-07	min_ar_rev_dt	enwiktionary
9	2001-05-19	min_ar_rev_dt	eswiki
10	2001-05-23	min_rev_dt	svwiki
11	2001-06-01	min_rev_dt	frwiki
12	2001-06-08	min_rev_dt	ptwiki
13	2001-06-25	min_rev_dt	enwikisource
14	2001-07-27	min_rev_dt	bgwiki
15	2001-08-07	min_rev_dt	nlwiki
16	2001-08-09	min_ar_rev_dt	simplewiki
17	2001-08-14	min_rev_dt	bhwiki
18	2001-08-14	min_rev_dt	hiwiki
19	2001-08-18	min_ar_rev_dt	knwiki
20	2001-08-24	min_rev_dt	itwiki
21	2001-08-28	min_rev_dt	nlwikibooks
22	2001-09-06	min_rev_dt	dewikiversity
23	2001-09-06	min_rev_dt	dewikibooks
24	2001-09-26	min_ar_rev_dt	plwiki
25	2001-10-05	min_ar_rev_dt	nowiki
26	2001-10-19	min_rev_dt	viwikibooks
27	2001-10-25	min_rev_dt	enwikiversity
28	2001-11-06	min_rev_dt	dewiktionary
29	2001-11-16	min_ar_rev_dt	eowiki
30	2001-11-16	min_rev_dt	afwiki
31	2001-12-06	min_rev_dt	euwiki
32	2002-01-15	min_rev_dt	frwikibooks
33	2002-02-11	min_rev_dt	dawiki
34	2002-02-18	min_rev_dt	frwikiversity
35	2002-02-24	min_rev_dt	cawiktionary
36	2002-02-25	min_ar_rev_dt	tewiki
37	2002-02-28	min_ar_rev_dt	siwiki
38	2002-03-09	min_rev_dt	frwiktionary
39	2002-03-14	min_rev_dt	frwikiquote
40	2002-03-24	min_ar_rev_dt	plwikibooks
41	2002-04-17	min_rev_dt	jawiki
42	2002-04-23	min_ar_rev_dt	commonswiki
43	2002-05-15	min_rev_dt	eswiktionary
