,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt,git_closed_dt
0,aawiki,aa.wikipedia.org,wikipedia,aa,Afar,closed,public,public,Afar Wikipedia,2012-02-24,2012-02-24
1,aawikibooks,aa.wikibooks.org,wikibooks,aa,Afar,closed,public,public,Afar Wikibooks,2012-02-24,2012-02-24
2,aawiktionary,aa.wiktionary.org,wiktionary,aa,Afar,closed,public,public,Afar Wiktionary,2012-02-24,2012-02-24
3,abwiki,ab.wikipedia.org,wikipedia,ab,Abkhazian,open,public,public,Abkhazian Wikipedia,2012-02-24,
4,abwiktionary,ab.wiktionary.org,wiktionary,ab,Abkhazian,closed,public,public,Abkhazian Wiktionary,2012-02-24,2012-02-24
5,acewiki,ace.wikipedia.org,wikipedia,ace,Achinese,open,public,public,Achinese Wikipedia,2012-05-08,
6,adywiki,ady.wikipedia.org,wikipedia,ady,Adyghe,open,public,public,Adyghe Wikipedia,2016-02-02,
7,afwiki,af.wikipedia.org,wikipedia,af,Afrikaans,open,public,public,Afrikaans Wikipedia,2012-02-24,
8,afwikibooks,af.wikibooks.org,wikibooks,af,Afrikaans,open,public,public,Afrikaans Wikibooks,2012-02-24,
9,afwikiquote,af.wikiquote.org,wikiquote,af,Afrikaans,open,public,public,Afrikaans Wikiquote,2012-02-24,
10,afwiktionary,af.wiktionary.org,wiktionary,af,Afrikaans,open,public,public,Afrikaans Wiktionary,2012-02-24,
11,akwiki,ak.wikipedia.org,wikipedia,ak,Akan,open,public,public,Akan Wikipedia,2012-02-24,2023-05-16
12,akwikibooks,ak.wikibooks.org,wikibooks,ak,Akan,closed,public,public,Akan Wikibooks,2012-02-24,2012-02-24
13,akwiktionary,ak.wiktionary.org,wiktionary,ak,Akan,closed,public,public,Akan Wiktionary,2012-02-24,2012-02-24
14,alswiki,als.wikipedia.org,wikipedia,als,Alsatian,open,public,public,Alemannisch Wikipedia,2012-02-24,
15,altwiki,alt.wikipedia.org,wikipedia,alt,Southern Altai,open,public,public,Altai Wikipedia,2021-02-22,
16,amiwiki,ami.wikipedia.org,wikipedia,ami,Amis,open,public,public,Amis Wikipedia,2021-10-23,
17,amwiki,am.wikipedia.org,wikipedia,am,Amharic,open,public,public,Amharic Wikipedia,2012-02-24,
18,amwikiquote,am.wikiquote.org,wikiquote,am,Amharic,closed,public,public,Amharic Wikiquote,2012-02-24,2013-07-23
19,amwiktionary,am.wiktionary.org,wiktionary,am,Amharic,open,public,public,Amharic Wiktionary,2012-02-24,
20,angwiki,ang.wikipedia.org,wikipedia,ang,Old English,open,public,public,Old English Wikipedia,2012-02-24,
21,angwikibooks,ang.wikibooks.org,wikibooks,ang,Old English,closed,public,public,Old English Wikibooks,2012-02-24,2014-12-17
